,latitude,longitude
266,-29.554,52.148
267,-39.714,65.989
268,-27.083,63.25
269,--,--
270,-39.829,30.674
271,-32.778,46.95
272,-34.987,65.367
273,-45.982,129.855
274,-33.25,76.539
275,25.092,-30.319
276,17.431,-40.364
277,7.478,-24.587
278,10.849,-52.072
279,21.296,-56.113
280,19.549,-47.281
281,,
282,16.065,-39.187
283,6.882999897,-14.2530002594
284,7.112,-33.671
285,5.983,-23.456
286,33.9570007324,-16.033000946
287,26.621,-31.945
288,12.735,-21.121
289,-26.304,-5.797
290,-22.31,8.562
291,-34.243,-10.524
292,-28.018,-29.795
293,-34.765,-31.962
294,-38.308,87.27
295,-43.282,89.01
296,-54.242,-129.889
297,-33.942,-108.56
298,-24.224,-122.756
299,-31.461,-176.817
300,--,--
301,-27.955,-104.378
302,-38.994,-155.114
303,-13.048,-28.702
304,2.639,-41.745
305,--,--
306,30.445,-22.933
307,30.217,-25.219
308,15.906,-44.111
309,11.74,-46.864
310,,
311,-15.336,2.258
312,-11.844,-1.509
313,-11.4469995499,-10.829000473
314,-25.415,-18.55
315,-31.075,13.62
316,-28.387,-26.026
317,-38.07,53.956
318,-37.027,82.412
319,32.19,-14.433
320,32.738,-22.55
321,,
322,3.14700007439,6.64699983597
323,2.64100003242,6.21899986267
324,-5.293,-31.624
325,-4.628,-26.049
326,-4.435,0.112
327,-14.0209999084,6.94500017166
328,-32.071,-49.904
329,-25.327999115,-15.8260002136
330,-40.906,80.043
331,-32.296,-26.935
332,36.687,-31.879
333,23.548,-33.787
334,17.289,-27.465
335,16.398,-34.091
336,17.696,-44.295
337,6.092,-21.156
338,-29.5209999084,2.83800005913
339,-22.853,-2.424
340,-17.5990009308,-9.22000026703
341,4.395,-49.374
342,0.884,-46.419
343,8.05,-16.932
344,27.351,-48.487
345,24.005,-37.361
346,28.156,-15.615
347,39.085,-14.782
348,31.16,-35.957
349,-32.668,-16.313
350,-21.387,-19.951
351,-19.698,-31.395
352,1.93799996376,-8.88500022888
353,,
354,-30.276,2.781
355,-47.101,122.769
356,-39.958,79.53
357,-37.383,49.031
358,-30.374,2.941
359,2.952,3.773
360,3.56299996376,5.23400020599
361,,
362,-26.123,-18.795
363,-24.111,-6.107
364,-18.414,-32.343
365,-10.101,-13.824
366,-9.312,-33.482
367,11.54,-32.332
368,8.134,-26.839
369,18.492,-27.432
370,13.995,-29.897
371,14.277,-34.437
